Words_t1,ans_t1,key_resp_t1.corr,key_resp_t1.rt,Words_t2,ans_t2,key_resp_t2.corr,key_resp_t2.rt,Subject,Category_t1,Category_t2
我的,e,1,0.8951,NA,NA,NA,NA,33,自我,NA
野蛮,i,1,0.7506,NA,NA,NA,NA,33,消极,NA
他的,i,1,0.7092,NA,NA,NA,NA,33,他人,NA
我们,e,1,0.61,NA,NA,NA,NA,33,自我,NA
他们,i,1,0.6215,NA,NA,NA,NA,33,他人,NA
我,e,1,0.8328,NA,NA,NA,NA,33,自我,NA
愚蠢,i,1,1.1481,NA,NA,NA,NA,33,消极,NA
我的,e,1,0.6695,NA,NA,NA,NA,33,自我,NA
固执,i,1,0.6843,NA,NA,NA,NA,33,消极,NA
机智,e,1,0.8237,NA,NA,NA,NA,33,积极,NA
他的,i,1,0.7501,NA,NA,NA,NA,33,他人,NA
我的,e,1,0.5244,NA,NA,NA,NA,33,自我,NA
他人,i,1,0.6804,NA,NA,NA,NA,33,他人,NA
自己,e,1,0.5651,NA,NA,NA,NA,33,自我,NA
诚恳,e,1,0.7568,NA,NA,NA,NA,33,积极,NA
我们,e,1,0.54990000000000006,NA,NA,NA,NA,33,自我,NA
自己,e,1,0.6676,NA,NA,NA,NA,33,自我,NA
我,e,1,0.4711,NA,NA,NA,NA,33,自我,NA
细腻,e,1,0.6415,NA,NA,NA,NA,33,积极,NA
他们,i,1,0.6833,NA,NA,NA,NA,33,他人,NA
乐观,e,1,1.0495,NA,NA,NA,NA,33,积极,NA
冒失,i,1,0.7169,NA,NA,NA,NA,33,消极,NA
活泼,e,1,0.5343,NA,NA,NA,NA,33,积极,NA
他人,i,1,0.6198,NA,NA,NA,NA,33,他人,NA
冷静,e,1,0.899,NA,NA,NA,NA,33,积极,NA
他人,i,1,0.7502,NA,NA,NA,NA,33,他人,NA
俺,e,1,0.6185,NA,NA,NA,NA,33,自我,NA
我们,e,1,0.6166,NA,NA,NA,NA,33,自我,NA
他们,i,0,0.5264,NA,NA,NA,NA,33,他人,NA
