"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"","",NA,NA,"正直","e",1,0.6774,36
"","",NA,NA,"俺","i",1,0.765,36
"","",NA,NA,"鲁莽","i",1,0.5609,36
"","",NA,NA,"散漫","i",1,0.6017,36
"","",NA,NA,"细腻","e",1,0.6227,36
"","",NA,NA,"冒失","i",1,0.5276,36
"","",NA,NA,"自己","i",1,0.6002,36
"","",NA,NA,"公正","e",1,0.4949,36
"","",NA,NA,"自己","i",1,0.7,36
"","",NA,NA,"卑鄙","i",1,0.5082,36
"","",NA,NA,"他们","e",1,0.6941,36
"","",NA,NA,"他人","e",1,0.522,36
"","",NA,NA,"聪明","e",1,0.5338,36
"","",NA,NA,"自己","i",1,0.4943,36
"","",NA,NA,"傲慢","i",1,0.5093,36
"","",NA,NA,"他的","e",1,0.9334,36
"","",NA,NA,"我们","i",1,0.5611,36
"","",NA,NA,"我","i",1,0.7121,36
"","",NA,NA,"其他","e",1,0.5379,36
"","",NA,NA,"俺","i",1,0.6716,36
"","",NA,NA,"无私","e",1,0.9112,36
"","",NA,NA,"他人","e",1,0.6352,36
"","",NA,NA,"他们","e",1,0.5338,36
"","",NA,NA,"勤奋","e",1,0.5601,36
"","",NA,NA,"轻率","i",1,0.6189,36
"","",NA,NA,"鲁莽","i",1,0.6003,36
"","",NA,NA,"他人","e",1,0.6944,36
"","",NA,NA,"活泼","e",1,0.5604,36
"","",NA,NA,"他的","e",1,0.6602,36
"","",NA,NA,"诚实","e",1,0.5649,36
"","",NA,NA,"我们","i",1,0.7107,36
"","",NA,NA,"其他","e",1,0.5105,36
"","",NA,NA,"他","e",1,0.6064,36
"","",NA,NA,"凶狠","i",1,0.7938,36
"","",NA,NA,"勇敢","e",1,0.5002,36
"","",NA,NA,"他们","e",1,0.5607,36
"","",NA,NA,"乐观","e",1,0.5439,36
