"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"","",NA,NA,"聪明","e",1,0.6489,"24"
"","",NA,NA,"他的","e",1,0.5096,"24"
"","",NA,NA,"凶狠","i",1,0.7337,"24"
"","",NA,NA,"我","i",1,0.3718,"24"
"","",NA,NA,"自己","i",1,0.4845,"24"
"","",NA,NA,"我们","i",1,0.5013,"24"
"","",NA,NA,"其他","e",1,0.75,"24"
"","",NA,NA,"固执","i",1,0.5544,"24"
"","",NA,NA,"自卑","i",1,0.5942,"24"
"","",NA,NA,"勇敢","e",1,0.7632,"24"
"","",NA,NA,"刻薄","i",1,0.6436,"24"
"","",NA,NA,"他","e",1,0.6293,"24"
"","",NA,NA,"勤奋","e",1,1.0507,"24"
"","",NA,NA,"优秀","e",1,0.5673,"24"
"","",NA,NA,"鲁莽","i",1,0.5339,"24"
"","",NA,NA,"俺","i",1,0.5091,"24"
"","",NA,NA,"其他","e",1,0.4169,"24"
"","",NA,NA,"活泼","e",1,0.6609,"24"
"","",NA,NA,"下贱","i",1,0.613,"24"
"","",NA,NA,"自己","i",1,0.4571,"24"
"","",NA,NA,"认真","e",0,0.5288,"24"
"","",NA,NA,"其他","e",1,0.7502,"24"
"","",NA,NA,"他的","e",1,0.6849,"24"
"","",NA,NA,"崇高","e",1,0.5328,"24"
"","",NA,NA,"野蛮","i",1,0.666,"24"
"","",NA,NA,"愚蠢","i",1,0.818,"24"
"","",NA,NA,"稳重","e",1,0.9661,"24"
"","",NA,NA,"朴实","e",1,0.5237,"24"
"","",NA,NA,"我的","i",1,0.5682,"24"
"","",NA,NA,"其他","e",1,0.5894,"24"
"","",NA,NA,"机智","e",1,0.917,"24"
"","",NA,NA,"乐观","e",1,0.5668,"24"
"","",NA,NA,"他们","e",1,0.5196,"24"
"","",NA,NA,"他的","e",1,0.4673,"24"
"","",NA,NA,"细腻","e",1,0.7779,"24"
"","",NA,NA,"他的","e",1,0.4334,"24"
"","",NA,NA,"他们","e",1,0.4077,"24"
"","",NA,NA,"俺","i",1,0.5934,"24"
"","",NA,NA,"他人","e",1,0.5344,"24"
"","",NA,NA,"我的","i",1,0.5212,"24"
"","",NA,NA,"自私","i",1,0.801,"24"
"","",NA,NA,"公正","e",1,0.6399,"24"
"","",NA,NA,"散漫","i",1,0.6944,"24"
