Id,Gender,Age,Only_Child,Handedness,5、请选择你所在的地区？,6、请选择你的民族？,7、请选择你所学的专业？,8、请选择你的教育程度？,d_prime_goodme_badothers,d_prime_badme_goodothers,IAS_Total,SS_Total,PRCA_Total,PRCA_grouo,PRCA_meeting,PRCA_twopeople,PRCA_public
85,2,22,2,1,广东省/珠海市/斗门区,汉族,工学（其他类）,本科,2.563103131,2.183240735,48,43,67,17,17,17,16
86,2,21,2,1,山西省/吕梁市/孝义市,汉族,其他专业,本科,3.463328792,2.127243877,43,33,61,14,15,20,12
87,2,23,2,1,安徽省/合肥市/市辖区,汉族,心理学,硕士,2.341662238,1.918233234,52,43,65,17,15,19,14
88,2,27,1,1,天津市/市辖区/和平区,汉族,工学（土木类）,硕士,4.073668263,3.174111665,39,39,71,16,18,19,18
89,2,35,1,1,上海市/市辖区/普陀区,汉族,文学,本科,3.560928683,3.289707254,59,50,60,14,16,15,15
90,1,21,2,1,河南省/平顶山市/宝丰县,汉族,文学,本科,3.463328792,1.869178582,60,53,58,14,15,15,14
91,1,21,2,1,山东省/青岛市/黄岛区,汉族,工学（计算机类）,本科,2.516323122,1.683242467,50,45,63,15,16,15,17
92,1,22,1,1,北京市/市辖区/海淀区,汉族,理学（数学）,本科,3.667829272,2.563103131,46,42,66,15,17,16,18
93,1,21,1,1,浙江省/杭州市/拱墅区,汉族,其他专业,本科,3.560928683,1.728320009,46,46,76,22,15,20,19
94,2,24,2,1,广东省/广州市/天河区,汉族,理学（其他）,本科,4.482805455,3.560928683,29,25,91,23,20,22,26
95,2,24,1,1,江苏省/苏州市/吴中区,汉族,文学,本科,3.463328792,3.560928683,59,54,50,13,12,12,13
96,2,19,1,1,湖北省/武汉市/江夏区,汉族,管理学,本科,2.879062942,2.362517242,57,52,59,14,18,15,12
97,2,20,2,1,陕西省/西安市/长安区,汉族,工学（电子类）,本科,3.560928683,2.636021795,65,52,64,15,16,16,17
98,2,22,2,2,广东省/广州市/天河区,汉族,文学,本科,3.667829272,3.068241089,60,53,62,14,17,16,15
99,2,18,2,1,北京市/市辖区/海淀区,汉族,经济学,本科,2.26067835,-1.821223414,64,59,62,10,19,18,15
