"Id","Gender","Age","Only_Child","Handedness","X5.请选择你所在的地区.","X6.请选择你的民族.","X7.请选择你所学的专业.","X8.请选择你的教育程度.","d_prime_goodme_badothers","d_prime_badme_goodothers","IAS_Total","SS_Total","PRCA_Total","PRCA_grouo","PRCA_meeting","PRCA_twopeople","PRCA_public","mean_logRT_compatible","mean_logRT_incompatible","IAT_score","Group"
80,2,28,1,1,"福建省/宁德市/福安市","汉族","工学（计算机类）","本科",2.879062942,1.968469921,57,51,58,14,15,17,12,6.33583031885179,6.38024979265408,0.0444194738022849,"Low"
81,2,19,2,1,"天津市/市辖区/西青区","汉族","文学","本科",4.7879596,1.968469921,62,51,54,12,17,14,11,6.39901813200013,6.38614294308853,-0.0128751889116021,"Low"
82,2,24,2,1,"广东省/广州市/海珠区","汉族","管理学","本科",4.7879596,3.174111665,44,34,73,19,19,18,17,6.41547998103502,6.47129519421857,0.055815213183557,"Low"
84,2,18,2,1,"广东省/广州市/海珠区","汉族","理学（其他）","本科",3.560928683,2.879062942,39,32,80,21,19,20,20,6.39559342273332,6.52222813096756,0.12663470823424,"Medium"
85,2,22,2,1,"广东省/珠海市/斗门区","汉族","工学（其他类）","本科",2.563103131,2.183240735,48,43,67,17,17,17,16,6.42734464669289,6.55567925394594,0.128334607253054,"Medium"
86,2,21,2,1,"山西省/吕梁市/孝义市","汉族","其他专业","本科",3.463328792,2.127243877,43,33,61,14,15,20,12,6.43717293271928,6.56751063401988,0.130337701300597,"Medium"
87,2,23,2,1,"安徽省/合肥市/市辖区","汉族","心理学","硕士",2.341662238,1.918233234,52,43,65,17,15,19,14,6.47188409711255,6.49654683196314,0.0246627348505823,"Low"
88,2,27,1,1,"天津市/市辖区/和平区","汉族","工学（土木类）","硕士",4.073668263,3.174111665,39,39,71,16,18,19,18,6.37835581351623,6.45584721375803,0.0774914002418008,"Medium"
89,2,35,1,1,"上海市/市辖区/普陀区","汉族","文学","本科",3.560928683,3.289707254,59,50,60,14,16,15,15,6.34743469436513,6.48015340814578,0.132718713780654,"Medium"
90,1,21,2,1,"河南省/平顶山市/宝丰县","汉族","文学","本科",3.463328792,1.869178582,60,53,58,14,15,15,14,6.26239212474362,6.4122934476651,0.149901322921478,"High"
91,1,21,2,1,"山东省/青岛市/黄岛区","汉族","工学（计算机类）","本科",2.516323122,1.683242467,50,45,63,15,16,15,17,6.35649553056384,6.54283279275444,0.18633726219061,"High"
92,1,22,1,1,"北京市/市辖区/海淀区","汉族","理学（数学）","本科",3.667829272,2.563103131,46,42,66,15,17,16,18,6.32823312015084,6.54514553245154,0.216912412300698,"High"
93,1,21,1,1,"浙江省/杭州市/拱墅区","汉族","其他专业","本科",3.560928683,1.728320009,46,46,76,22,15,20,19,6.44459654150222,6.74846934337504,0.303872801872814,"High"
94,2,24,2,1,"广东省/广州市/天河区","汉族","理学（其他）","本科",4.482805455,3.560928683,29,25,91,23,20,22,26,6.41010066911464,6.50157964557983,0.0914789764651855,"Medium"
95,2,24,1,1,"江苏省/苏州市/吴中区","汉族","文学","本科",3.463328792,3.560928683,59,54,50,13,12,12,13,6.44629318847476,6.49429873485454,0.0480055463797795,"Low"
96,2,19,1,1,"湖北省/武汉市/江夏区","汉族","管理学","本科",2.879062942,2.362517242,57,52,59,14,18,15,12,6.26474144513557,6.50748920754133,0.242747762405758,"High"
97,2,20,2,1,"陕西省/西安市/长安区","汉族","工学（电子类）","本科",3.560928683,2.636021795,65,52,64,15,16,16,17,6.39016833000202,6.42277453772259,0.0326062077205709,"Low"
98,2,22,2,2,"广东省/广州市/天河区","汉族","文学","本科",3.667829272,3.068241089,60,53,62,14,17,16,15,6.33583951384914,6.48588553572943,0.150046021880294,"High"
